"filename", "language", "PHP", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_actualizarDisponibilidad.php", "PHP", 15, 0, 0, 0, 0, 4, 19
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_actualizarEstudiosExternos.php", "PHP", 14, 0, 0, 0, 0, 2, 16
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_asignarFct.php", "PHP", 23, 0, 0, 0, 1, 7, 31
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_cambiarClaveAlumno.php", "PHP", 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_cambiarClaveEmpresa.php", "PHP", 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_cambiarClaveTutor.php", "PHP", 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_comprobarAlumnos.php", "PHP", 14, 0, 0, 0, 0, 3, 17
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_crearContrato.php", "PHP", 39, 0, 0, 0, 7, 9, 55
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_crearSolicitudEmpleo.php", "PHP", 45, 0, 0, 0, 5, 10, 60
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_crearSolicitudFct.php", "PHP", 26, 0, 0, 0, 3, 7, 36
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_enviarCodigoClave.php", "PHP", 33, 0, 0, 0, 0, 2, 35
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_loginAdmin.php", "PHP", 45, 0, 0, 0, 3, 5, 53
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_loginAlumnos.php", "PHP", 15, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_loginEmpresas.php", "PHP", 15, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_loginTutores.php", "PHP", 15, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerAlumnoPorDni.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerAlumnos.php", "PHP", 12, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerAlumnosPorEstudios.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerAlumnosPorTutor.php", "PHP", 18, 0, 0, 0, 2, 5, 25
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerContratosPorEmpresa.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerEmpresaPorCif.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerEmpresas.php", "PHP", 12, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Controlador\c_obtenerEmpresasPorEstudio.php", "PHP", 12, 0, 0, 0, 0, 2, 14
